word,start,end
a,84.2471279296875,84.3071279296875
tripod,84.3071279296875,84.93712792968749
and,84.9771279296875,85.0971279296875
threw,85.1171279296875,85.21712792968749
down,85.21712792968749,85.3871279296875
some,85.4271279296875,85.57712792968749
cookies,85.5971279296875,86.1971279296875
to,86.1971279296875,86.3171279296875
try,86.3371279296875,86.51712792968749
to,86.51712792968749,86.5871279296875
entice,86.5871279296875,86.9571279296875
the,86.9571279296875,87.01712792968749
monkeys,87.0371279296875,87.3571279296875
over,87.43712792968749,87.7771279296875
He,88.5571279296875,88.65712792968749
was,88.6771279296875,88.7871279296875
hoping,88.7871279296875,89.0571279296875
they'd,89.0571279296875,89.1971279296875
get,89.1771279296875,89.3471279296875
curious,89.3671279296875,89.8371279296875
about,89.9171279296875,90.1371279296875
the,90.1371279296875,90.2071279296875
camera,90.2071279296875,90.7271279296875
and,90.8771279296875,91.0071279296875
start,91.0871279296875,91.2871279296875
pushing,91.3071279296875,91.5671279296875
the,91.5871279296875,91.6671279296875
button,91.68712792968749,91.93712792968749
themselves,91.93712792968749,92.68712792968749
They,93.6071279296875,93.7271279296875
were,93.7871279296875,94.0271279296875
curious,94.0871279296875,94.7271279296875
They,95.46712792968749,95.5371279296875
were,95.5971279296875,95.6771279296875
not,95.71712792968749,95.96712792968749
pushing,95.9871279296875,96.2771279296875
the,96.29712792968749,96.3871279296875
button,96.40712792968749,96.7371279296875
So,98.5971279296875,98.6971279296875
David,98.71712792968749,98.9771279296875
attached,99.01712792968749,99.32712792968749
a,99.3671279296875,99.40712792968749
cable,99.40712792968749,99.82712792968749
with,99.8471279296875,99.9271279296875
a,99.96712792968749,99.9971279296875
button,99.9971279296875,100.2371279296875
on,100.2371279296875,100.3571279296875
the,100.3571279296875,100.43712792968749
end,100.4971279296875,100.6271279296875
of,100.6471279296875,100.7271279296875
it,100.76712792968749,100.96712792968749
to,100.9871279296875,101.0971279296875
the,101.0971279296875,101.1771279296875
camera,101.1771279296875,101.5971279296875
The,102.4571279296875,102.5671279296875
monkeys,102.5871279296875,102.82712792968749
liked,102.8671279296875,103.1271279296875
that,103.1071279296875,103.32712792968749
They,104.1271279296875,104.2071279296875
started,104.2471279296875,104.5071279296875
playing,104.5671279296875,104.8171279296875
with,104.79712792968749,104.9571279296875
it,104.9771279296875,105.1971279296875
putting,105.1971279296875,105.4171279296875
it,105.4171279296875,105.4971279296875
in,105.4971279296875,105.5571279296875
their,105.5571279296875,105.68712792968749
mouths,105.68712792968749,106.21712792968749
fighting,106.3171279296875,106.6171279296875
over,106.6371279296875,106.8371279296875
it,106.8571279296875,107.0071279296875
And,107.5189279296875,107.6389279296875
of,107.6589279296875,107.7489279296875
course,107.7889279296875,107.9989279296875
when,108.0189279296875,108.3389279296875
when,108.9289279296875,109.0889279296875
it,109.0889279296875,109.1889279296875
when,109.20892792968749,109.3289279296875
it,109.34892792968749,109.4189279296875
got,109.4189279296875,109.6089279296875
pressed,109.6589279296875,110.1789279296875
they,110.9189279296875,111.31892792968749
automatically,111.31892792968749,112.34892792968749
looked,112.4389279296875,112.73892792968749
into,112.7989279296875,112.9789279296875
the,112.9989279296875,113.06892792968749
lens,113.0489279296875,113.5489279296875
And,114.1689279296875,114.2589279296875
the,114.2889279296875,114.34892792968749
fact,114.3889279296875,114.5389279296875
that,114.5789279296875,114.62892792968749
it's,114.6689279296875,114.7589279296875
going,114.7989279296875,114.9789279296875
ch,115.0089279296875,115.1589279296875
ch,115.1589279296875,115.31892792968749
ch,115.31892792968749,115.5089279296875
ch,115.5089279296875,115.6989279296875
ch,115.6989279296875,116.0089279296875
it's,116.1589279296875,116.31892792968749
monkey,116.3389279296875,116.5589279296875
language,116.59892792968749,117.1789279296875
They,117.7645279296875,117.85452792968749
fired,117.8745279296875,118.0945279296875
off,118.1545279296875,118.2845279296875
a,118.3045279296875,118.3445279296875
few,118.3445279296875,118.5545279296875
shots,118.5945279296875,119.0545279296875
David,119.5545279296875,119.8045279296875
reviewed,119.8645279296875,120.1945279296875
them,120.1945279296875,120.4245279296875
They,120.9545279296875,121.07452792968749
weren't,121.1145279296875,121.32452792968749
bad,121.32452792968749,121.6645279296875
a,122.2245279296875,122.3345279296875
little,122.3745279296875,122.5545279296875
out,122.5945279296875,122.6545279296875
of,122.6945279296875,122.7545279296875
focus,122.7545279296875,123.2745279296875
So,124.0545279296875,124.1445279296875
he,124.18452792968749,124.2445279296875
adjusted,124.2445279296875,124.60452792968749
the,124.60452792968749,124.6645279296875
settings,124.68452792968749,125.1545279296875
and,125.1745279296875,125.2845279296875
put,125.3045279296875,125.43452792968749
the,125.43452792968749,125.4945279296875
camera,125.4945279296875,125.8045279296875
back,125.8045279296875,126.1545279296875
The,127.1945279296875,127.2345279296875
monkeys,127.2745279296875,127.5245279296875
were,127.5645279296875,127.6545279296875
into,127.71452792968749,127.9045279296875
the,127.9245279296875,128.0345279296875
whole,128.0545279296875,128.1945279296875
project,128.1945279296875,128.5645279296875
by,128.6445279296875,128.7845279296875
now,128.8045279296875,129.0545279296875
In,129.3945279296875,129.4745279296875
fact,129.51452792968752,129.7445279296875
they,129.8445279296875,129.9245279296875
were,129.9445279296875,129.9945279296875
getting,130.01452792968752,130.1845279296875
a,130.20452792968752,130.2245279296875
little,130.2445279296875,130.4645279296875
too,130.5045279296875,130.7145279296875
excited,130.7545279296875,131.5745279296875
They,131.8545279296875,131.9445279296875
almost,131.98452792968752,132.2145279296875
knocked,132.2145279296875,132.3745279296875
the,132.3745279296875,132.45452792968752
tripod,132.45452792968752,132.7945279296875
over,132.8545279296875,133.4045279296875
So,134.2845279296875,134.4045279296875
David,134.42452792968749,134.6845279296875
laid,134.7045279296875,134.8845279296875
down,134.8845279296875,135.0645279296875
on,135.0645279296875,135.1645279296875
his,135.1845279296875,135.3145279296875
stomach,135.2745279296875,135.7645279296875
and,135.89452792968748,136.0245279296875
stretched,136.0645279296875,136.39452792968748
his,136.4345279296875,136.4945279296875
arm,136.5345279296875,136.7745279296875
out,136.8145279296875,137.0245279296875
to,137.1345279296875,137.2445279296875
steady,137.2845279296875,137.5545279296875
the,137.5945279296875,137.6645279296875
tripod,137.6845279296875,138.1245279296875
with,138.1245279296875,138.2645279296875
two,138.2645279296875,138.4045279296875
fingers,138.4645279296875,139.0645279296875
A,139.9145279296875,139.9845279296875
few,140.0045279296875,140.17452792968749
other,140.2145279296875,140.3245279296875
monkeys,140.3845279296875,140.6945279296875
noticed,140.6945279296875,141.0345279296875
their,141.0345279296875,141.1545279296875
strange,141.1945279296875,141.5445279296875
new,141.5645279296875,141.6945279296875
friend,141.7545279296875,142.0345279296875
lying,142.0545279296875,142.2645279296875
full,142.3245279296875,142.4445279296875
out,142.5045279296875,142.5945279296875
on,142.61452792968748,142.7045279296875
the,142.7245279296875,142.7645279296875
floor,142.8045279296875,143.2745279296875
and,143.5745279296875,143.67452792968749
hopped,143.7345279296875,143.9645279296875
onto,143.9845279296875,144.1345279296875
his,144.2145279296875,144.2945279296875
back,144.3545279296875,144.67452792968749
So,145.0526279296875,145.1726279296875
I,145.2126279296875,145.29262792968748
had,145.3126279296875,145.3926279296875
monkeys,145.4726279296875,145.8026279296875
on,145.8626279296875,145.9426279296875
my,146.0026279296875,146.1426279296875
back,146.2226279296875,146.4426279296875
whilst,146.5226279296875,146.6926279296875
I'm,146.7126279296875,146.8026279296875
trying,146.8426279296875,147.0626279296875
to,147.0826279296875,147.1326279296875
keep,147.1726279296875,147.4026279296875
my,147.4026279296875,147.5026279296875
camera,147.5226279296875,148.0026279296875
from,148.0026279296875,148.1926279296875
being,148.1926279296875,148.4426279296875
knocked,148.4626279296875,148.9026279296875
while,148.9426279296875,149.1226279296875
some,149.1426279296875,149.3026279296875
monkeys,149.3026279296875,149.7426279296875
trying,149.7826279296875,150.1426279296875
or,150.1826279296875,150.3026279296875
two,150.4026279296875,150.5226279296875
or,150.54262792968748,150.5826279296875
three,150.6226279296875,150.8026279296875
monkeys,150.82262792968748,151.0926279296875
are,151.1326279296875,151.1726279296875
trying,151.2126279296875,151.4326279296875
to,151.4526279296875,151.5026279296875
play,151.54262792968748,151.6726279296875
with,151.7326279296875,151.8026279296875
the,151.7826279296875,151.8426279296875
button,151.8626279296875,152.2026279296875
Uhuh,152.36622792968748,152.67622792968749
And,152.7450279296875,152.8350279296875
all,152.8750279296875,152.98502792968748
of,152.98502792968748,153.0550279296875
a,153.0550279296875,153.0850279296875
sudden,153.10502792968748,153.5050279296875
I,153.76502792968748,153.8450279296875
heard,153.9250279296875,154.0550279296875
the,154.0550279296875,154.1150279296875
camera,154.13502792968748,154.38502792968748
going,154.4050279296875,154.5950279296875
off,154.63502792968748,154.8750279296875
And,155.7050279296875,155.79502792968748
I,155.85502792968748,155.91502792968748
didn't,155.97502792968749,156.2450279296875
dare,156.4050279296875,156.5850279296875
I,156.60502792968748,156.6550279296875
knew,156.7550279296875,156.9250279296875
that,156.94502792968748,157.07502792968748
if,157.07502792968748,157.22502792968749
I,157.2450279296875,157.3750279296875
looked,157.3950279296875,157.5950279296875
up,157.63502792968748,157.73502792968748
at,157.7750279296875,157.8650279296875
them,157.9050279296875,158.1150279296875
they,158.3750279296875,158.47502792968749
would,158.51502792968748,158.63502792968748
probably,158.6550279296875,158.8950279296875
look,158.9550279296875,159.0950279296875
away,159.1550279296875,159.4950279296875
Huh,159.8589279296875,160.0089279296875
So,160.0285279296875,160.1285279296875
I,160.1485279296875,160.2285279296875
let,160.2785279296875,160.41852792968749
them,160.4385279296875,160.6185279296875
click,160.6185279296875,160.8185279296875
it,160.85852792968748,160.9285279296875
click,160.9785279296875,161.1585279296875
it,161.1785279296875,161.2885279296875
click,161.3085279296875,161.4985279296875
it,161.5585279296875,161.6785279296875
And,161.6785279296875,161.7485279296875
I,161.8085279296875,161.9085279296875
sort,162.1285279296875,162.4285279296875
of,162.4685279296875,162.5585279296875
very,162.5985279296875,162.9285279296875
carefully,162.9885279296875,163.3785279296875
looked,163.4585279296875,163.6485279296875
up,163.7085279296875,163.91852792968749
to,164.2585279296875,164.3185279296875
see,164.41852792968749,164.7285279296875
them,164.76852792968748,164.9685279296875
pulling,165.01852792968748,165.2485279296875
these,165.2885279296875,165.4985279296875
amazing,165.51852792968748,166.2785279296875
contorted,166.2785279296875,166.9485279296875
faces,167.51852792968748,168.1185279296875
like,168.13852792968748,168.4085279296875
howling,168.4885279296875,169.0885279296875
mouths,169.16852792968749,169.66852792968749
and,169.7485279296875,169.96852792968753
the,170.6685279296875,170.75852792968752
the,170.8985279296875,170.94852792968751
smiling,170.9885279296875,171.81852792968752
mouth,171.87852792968752,172.2385279296875
and,172.2785279296875,172.3685279296875
more,172.3885279296875,172.56852792968752
besides,172.5885279296875,173.37852792968752
The,174.1064279296875,174.1664279296875
monkeys,174.2064279296875,174.7964279296875
were,174.8764279296875,175.0564279296875
taking,175.0564279296875,175.3964279296875
selfies,175.4564279296875,176.0964279296875
amazing,176.6064279296875,177.3264279296875
beautiful,177.5664279296875,178.1464279296875
weird,178.24642792968748,178.5764279296875
selfies,178.6164279296875,179.21642792968748
I,179.7846279296875,179.83462792968749
I,179.9346279296875,180.0346279296875
just,180.05462792968748,180.1546279296875
wanted,180.2146279296875,180.4346279296875
it,180.4746279296875,180.55462792968748
to,180.5746279296875,180.6546279296875
go,180.6746279296875,180.7446279296875
on,180.7846279296875,180.9046279296875
forever,180.9046279296875,181.2946279296875
really,181.33462792968749,181.7646279296875
When,186.15132792968748,186.2713279296875
David,186.2713279296875,186.5013279296875
finally,186.5413279296875,186.8513279296875
stood,186.8713279296875,187.0513279296875
up,187.1113279296875,187.2613279296875
and,187.2613279296875,187.3413279296875
checked,187.3613279296875,187.5813279296875
their,187.5813279296875,187.7013279296875
work,187.7813279296875,188.1613279296875
he,188.4813279296875,188.5413279296875
saw,188.5813279296875,188.7313279296875
that,188.7713279296875,188.90132792968748
the,188.9213279296875,188.9713279296875
shots,189.0313279296875,189.3013279296875
weren't,189.3613279296875,189.5613279296875
just,189.5613279296875,189.7213279296875
regular,189.7613279296875,190.0713279296875
old,190.1713279296875,190.3713279296875
everyday,190.43132792968748,190.7613279296875
selfies,190.8213279296875,191.43132792968748
They,192.0113279296875,192.0913279296875
weren't,192.15132792968748,192.43132792968748
that,192.43132792968748,192.5813279296875
guy,192.6213279296875,192.7913279296875
at,192.7913279296875,192.8913279296875
the,192.8913279296875,192.96132792968749
gym,193.0213279296875,193.3013279296875
taking,193.3213279296875,193.5713279296875
pictures,193.5913279296875,193.8713279296875
of,193.9113279296875,193.9913279296875
his,194.0113279296875,194.1113279296875
muscles,194.1313279296875,194.4413279296875
in,194.4813279296875,194.5513279296875
the,194.5513279296875,194.6213279296875
mirror,194.6413279296875,195.2313279296875
These,195.8213279296875,195.93132792968748
were,195.9913279296875,196.0413279296875
next,196.1213279296875,196.3213279296875
level,196.40132792968748,196.7613279296875
transcendentally,197.1313279296875,198.0313279296875
good,198.0713279296875,198.3413279296875
They,198.9813279296875,199.1313279296875
somehow,199.1713279296875,199.46132792968749
escape,199.5213279296875,199.8613279296875
the,199.8913279296875,199.96132792968749
bounds,200.0013279296875,200.2913279296875
of,200.3113279296875,200.3913279296875
selfie,200.3913279296875,200.9813279296875
and,201.0513279296875,201.18132792968748
enter,201.2213279296875,201.4913279296875
the,201.5113279296875,201.5713279296875
realm,201.6113279296875,201.8613279296875
of,201.8813279296875,201.9713279296875
art,202.0113279296875,202.2413279296875
There,203.7313279296875,203.8313279296875
was,203.8313279296875,203.93132792968748
one,204.0113279296875,204.1613279296875
shot,204.2013279296875,204.43132792968748
in,204.4513279296875,204.5113279296875
particular,204.5113279296875,205.0213279296875
that,205.0413279296875,205.1713279296875
caught,205.1713279296875,205.4113279296875
David's,205.4113279296875,205.7813279296875
eye,205.8013279296875,206.0813279296875
The,207.0413279296875,207.1013279296875
monkey's,207.1413279296875,207.43132792968748
face,207.4513279296875,207.7013279296875
is,207.7013279296875,207.8513279296875
very,207.8913279296875,208.18132792968748
close,208.2013279296875,208.4113279296875
to,208.43132792968748,208.5413279296875
the,208.5613279296875,208.6213279296875
camera,208.6413279296875,209.0713279296875
looking,209.2913279296875,209.5013279296875
straight,209.5813279296875,209.7913279296875
into,209.8513279296875,209.9913279296875
the,209.9913279296875,210.0713279296875
lens,210.1113279296875,210.5213279296875
It's,211.2313279296875,211.3713279296875
hair,211.4113279296875,211.7313279296875
perfectly,212.3213279296875,212.68132792968748
coiffed,212.7613279296875,213.1913279296875
Eyes,213.8813279296875,214.3613279296875
friendly,214.3813279296875,214.8913279296875
big,215.3813279296875,215.6313279296875
and,215.6313279296875,215.7213279296875
round,215.7613279296875,216.0313279296875
and,216.0513279296875,216.1613279296875
amber,216.18132792968748,216.5613279296875
All,217.5813279296875,217.68132792968748
of,217.7013279296875,217.7713279296875
which,217.7913279296875,217.9113279296875
are,217.9513279296875,217.9913279296875
nice,218.0313279296875,218.3013279296875
details,218.3013279296875,218.9413279296875
and,218.96132792968749,219.0713279296875
details,219.0713279296875,219.3713279296875
are,219.4113279296875,219.4913279296875
important,219.5113279296875,220.0213279296875
But,220.1613279296875,220.2413279296875
the,220.2613279296875,220.3313279296875
focus,220.3913279296875,220.71132792968749
of,220.7913279296875,220.8813279296875
this,220.90132792968748,221.0913279296875
selfie,221.0513279296875,221.5913279296875
the,222.0013279296875,222.0613279296875
main,222.0813279296875,222.3013279296875
event,222.3213279296875,222.65132792968748
is,223.2313279296875,223.3513279296875
the,223.3513279296875,223.40132792968748
monkey's,223.5013279296875,223.93132792968748
selfsatisfied,223.9513279296875,224.7713279296875
grin,224.8113279296875,225.2813279296875
teeth,225.8813279296875,226.1413279296875
that,226.1413279296875,226.2213279296875
are,226.2813279296875,226.3313279296875
too,226.3713279296875,226.5213279296875
big,226.5213279296875,226.7013279296875
for,226.7213279296875,226.8213279296875
its,226.8613279296875,226.9713279296875
mouth,227.0513279296875,227.46132792968749
with,227.4813279296875,227.5913279296875
gaps,227.6113279296875,227.8913279296875
between,227.9513279296875,228.3213279296875
them,228.3213279296875,228.5713279296875
a,229.2913279296875,229.3413279296875
real,229.4813279296875,229.7213279296875
grin,229.7413279296875,230.0413279296875
like,230.7413279296875,230.8513279296875
he,230.8713279296875,230.9513279296875
knows,231.0313279296875,231.2613279296875
he's,231.2813279296875,231.3913279296875
smiling,231.3713279296875,231.7513279296875
for,231.7913279296875,231.9113279296875
a,231.9113279296875,232.0013279296875
picture,231.96132792968749,232.4113279296875
I,233.0327279296875,233.2127279296875
I,233.3627279296875,233.5427279296875
just,233.5627279296875,233.8627279296875
saw,233.8227279296875,234.0427279296875
it,234.1027279296875,234.1527279296875
on,234.1927279296875,234.3627279296875
the,234.3627279296875,234.4027279296875
front,234.4627279296875,234.6827279296875
cover,234.7627279296875,235.0327279296875
of,235.0927279296875,235.2227279296875
National,235.2227279296875,235.6327279296875
Geographic,235.6727279296875,236.4427279296875
or,236.48272792968748,236.5527279296875
something,236.6327279296875,236.9727279296875
like,236.9927279296875,237.1827279296875
that,237.2227279296875,237.48272792968748
And,237.48272792968748,237.5927279296875
I,237.6527279296875,237.7427279296875
just,237.7827279296875,237.9727279296875
thought,238.0127279296875,238.20272792968748
I,238.2627279296875,238.3427279296875
need,238.3827279296875,238.6327279296875
to,238.6727279296875,238.7427279296875
get,238.7827279296875,238.9727279296875
this,239.0127279296875,239.2927279296875
to,239.3127279296875,239.3727279296875
my,239.4127279296875,239.5727279296875
agents,239.5927279296875,240.2127279296875
David,246.9148279296875,247.1948279296875
and,247.1948279296875,247.2548279296875
his,247.3148279296875,247.3948279296875
agents,247.4748279296875,247.7448279296875
put,247.8048279296875,247.8948279296875
out,247.9548279296875,248.0248279296875
a,248.0448279296875,248.1348279296875
press,248.15482792968749,248.3648279296875
release,248.40482792968749,248.6848279296875
about,248.7248279296875,248.8948279296875
the,248.9348279296875,248.9748279296875
selfies,249.0148279296875,249.59482792968748
They,249.9348279296875,250.0148279296875
thought,250.0348279296875,250.2048279296875
they,250.2248279296875,250.3048279296875
could,250.3248279296875,250.4448279296875
grab,250.4648279296875,250.7048279296875
people's,250.7248279296875,250.9848279296875
attention,251.0448279296875,251.4148279296875
with,251.5348279296875,251.6048279296875
the,251.6048279296875,251.6448279296875
photos,251.7248279296875,252.2348279296875
and,252.3348279296875,252.4648279296875
then,252.4648279296875,252.6348279296875
use,252.6748279296875,252.8048279296875
the,252.8048279296875,252.8648279296875
